Weather and Climate Billion-Dollar Disasters to affect Ohio from 2008-2024
Cost values are in millions of dollars
Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
"Western, Central and Northeast Severe Weather (January 2008)",Severe Storm,20080104,20080109,1473,982,12
"Southeast Tornadoes and Severe Weather (February 2008)",Severe Storm,20080205,20080206,1805.3,1211.6,57
"Hurricane Ike (September 2008)",Tropical Cyclone,20080912,20080914,43198.4,29998.8,112
"U.S. Drought (2008)",Drought,20080101,20081231,10514.8,7009.8,0
"Southeast/Ohio Valley Severe Weather (February 2009)",Severe Storm,20090210,20090211,2592.9,1740.2,10
"Groundhog Day Blizzard (February 2011)",Winter Storm,20110201,20110203,2565.7,1794.2,36
"Ohio Valley Derecho and Southern Tornadoes (April 2011)",Severe Storm,20110419,20110420,1452.8,1037.5,0
"Southeast/Ohio Valley/Midwest Tornadoes (April 2011)",Severe Storm,20110425,20110428,14310.7,10222,321
"Midwest/Southeast Tornadoes (May 2011)",Severe Storm,20110522,20110527,12735.6,9096.8,177
"Rockies and Midwest Derecho (July 10-11, 2011)",Severe Storm,20110710,20110711,1729.1,1235,2
"Southeast/Ohio Valley Tornadoes (March 2012)",Severe Storm,20120302,20120303,4317.9,3128.8,42
"Plains/East/Northeast Derecho (June-July 2012)",Severe Storm,20120629,20120702,3986,2888.4,28
"Hurricane Sandy (October 2012)",Tropical Cyclone,20121030,20121031,88453.9,65039.6,159
"U.S. Drought/Heat Wave (2012)",Drought,20120101,20121231,41705.2,30003.6,123
"Ohio Valley Tornadoes (November 2013)",Severe Storm,20131117,20131117,1472.2,1090.6,8
"Midwest/Southeast/Northeast Winter Storm (January 2014)",Winter Storm,20140105,20140108,2933.4,2172.7,16
"Center Severe Weather (May 2014)",Severe Storm,20140510,20140514,1134.5,853,0
"Rockies/Midwest/Eastern Severe Weather (May 2014)",Severe Storm,20140518,20140523,4938.6,3713.2,0
"Central and Eastern Winter storm, Cold Wave (February 2015)",Winter Storm,20150214,20150220,3969.3,2962.1,30
"Midwest/Ohio Valley Severe Weather (April 2015)",Severe Storm,20150407,20150409,2069,1555.6,2
"Texas and Oklahoma Flooding and Severe Weather (May 2015)",Flooding,20150523,20150526,3375.6,2500.4,31
"West Virginia Flooding and Ohio Valley Tornadoes (June 2016)",Flooding,20160622,20160624,1288.5,968.8,23
"Central/Southeast Tornado Outbreak (March 2017)",Severe Storm,20170228,20170301,2347.8,1806,6
"Midwest Tornado Outbreak (March 2017)",Severe Storm,20170306,20170308,2828.8,2176,2
"Missouri and Arkansas Flooding and Central Severe Weather (May 2017)",Flooding,20170425,20170507,2156.7,1659,20
"Central and Northeast Severe Weather (May 2018)",Severe Storm,20180501,20180504,1751.3,1390,0
"Central and Eastern Severe Weather (May 2018)",Severe Storm,20180513,20180515,1726.2,1370,5
"Southeast, Ohio Valley and Northeast Severe Weather (February 2019)",Severe Storm,20190223,20190225,1547.2,1237.5,2
"Southern and Eastern Tornadoes and Severe Weather (April 2019)",Severe Storm,20190413,20190414,1552.5,1252,7
"Rockies, Central and Northeast Tornadoes and Severe Weather (May 2019)",Severe Storm,20190526,20190529,5655.6,4598,3
"Mississippi River, Midwest and Southern Flooding (July 2019)",Flooding,20190315,20190731,7649.6,6169,4
"Southeast Tornadoes and Northern Storms and Flooding (January 2020)",Severe Storm,20200110,20200112,1401.8,1149,10
"Midwest and Ohio Valley Severe Weather (March 2020)",Severe Storm,20200327,20200328,3120.9,2558,0
"North Central and Ohio Valley Hail Storms and Severe Weather (April 2020)",Severe Storm,20200407,20200408,3543.9,2881,0
"Central Severe Weather - Derecho (August 2020)",Severe Storm,20200810,20200810,13452.9,11027,4
"Southeast Tornadoes and Severe Weather (March 2021)",Severe Storm,20210324,20210325,1995.8,1677,6
"Ohio Valley Hail Storms (June 2021)",Severe Storm,20210617,20210618,1980.1,1707,0
"Central Severe Storms (June 2021)",Severe Storm,20210624,20210626,1453.6,1253,0
"North Central Severe Weather (August 2021)",Severe Storm,20210810,20210813,1489.5,1284,2
"Southeast, Central Tornado Outbreak (December 2021)",Severe Storm,20211210,20211210,4463.1,3915,93
"Southern Tornado Outbreak (March 2022)",Severe Storm,20220330,20220330,1381.6,1256,2
"Southern Severe Weather (April 2022)",Severe Storm,20220411,20220413,2915.7,2675,1
